Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/view/,2495,0,3,3.263244692671051,0.9237499907612801,41.49479197803885,3399.0,42.20579296763712,0.0,3,3,4,4,5,6,9,15,34,41,41
GET,GET /events/view/?page=2,1479,0,5,6.187120570512797,2.4917079135775566,49.14524999912828,52.0,25.01898508983379,0.0,5,6,7,7,8,10,13,25,43,49,49
GET,GET /events/view/{id}/,1028,0,6,7.224760325294865,3.211042028851807,48.014833009801805,1416.5019455252918,17.389801671635656,0.0,6,7,8,8,10,12,18,30,46,48,48
GET,GET /healthz,483,0,2,2.923190644816891,0.9278750512748957,36.805500043556094,16.0,8.170500201750995,0.0,2,3,3,3,4,6,17,20,37,37,37
PATCH,PATCH /pay,187,0,8,8.957016098756283,5.2539580501616,19.541166024282575,20.0,3.163319953887031,0.0,8,9,10,10,12,14,16,16,20,20,20
POST,POST /buy,822,0,9,11.136955313085423,3.53262503631413,63.83962498512119,42.222627737226276,13.905074877514116,0.0,9,11,12,12,15,21,42,57,64,64,64
,Aggregated,6494,0,5,5.691567724927013,0.9237499907612801,63.83962498512119,1549.0840776101015,109.85347476225871,0.0,5,6,7,8,10,12,17,27,60,64,64
